,V1,V2
537,214,214
538,215,215
539,216,216
540,216,1200
541,216,1264
542,217,217
543,217,1511
544,218,218
545,218,1520
546,218,1508
547,218,1423
548,219,219
549,220,220
550,220,916
551,220,1290
552,221,221
553,222,222
554,222,527
555,222,181
556,223,223
557,223,195
558,223,759
559,223,1165
560,224,224
561,224,566
562,224,323
563,225,225
564,226,226
565,226,312
566,226,273
567,226,1354
568,227,227
569,227,1203
570,227,321
571,228,228
572,228,436
573,229,229
574,229,1339
575,229,765
576,229,1181
577,230,230
578,230,456
579,231,231
580,231,169
581,231,1441
582,231,1294
583,232,232
584,232,573
585,232,829
586,233,233
587,233,1441
588,234,234
589,235,235
590,235,102
591,235,1423
592,235,293
593,235,44
594,236,236
595,236,1568
596,237,237
597,237,1279
598,237,1109
599,238,238
600,238,836
601,238,1242
602,238,429
603,238,846
604,239,239
605,240,240
606,240,1441
607,240,129
608,240,1358
609,241,241
610,241,709
611,242,242
612,242,847
613,242,1175
614,242,2
615,243,243
616,243,1249
617,243,1141
618,243,1305
619,243,1428
620,244,244
621,244,1418
622,245,245
623,245,1123
624,245,1114
625,246,246
626,246,1261
627,246,1383
628,247,247
629,247,194
630,248,248
631,249,249
632,249,825
633,249,1231
634,249,772
635,250,250
636,250,6364
637,251,251
638,251,901
639,251,1206
640,251,1136
641,252,252
642,253,253
643,253,47
644,253,801
645,254,254
646,254,870
647,255,255
648,255,608
649,256,256
650,256,183
651,257,257
652,258,258
653,259,259
654,260,260
655,261,261
656,261,871
657,262,262
658,262,7084
659,263,263
660,263,1624
661,263,1613
662,264,264
663,265,265
664,265,1324
665,265,86
666,265,553
667,266,266
668,266,351
669,266,1488
670,267,267
671,267,207
672,267,1233
673,267,512
674,268,268
675,269,269
676,270,270
677,270,1175
678,270,196
679,270,1264
680,271,271
681,271,569
682,272,272
683,273,273
684,273,757
685,273,226
686,273,312
687,273,1511
688,274,274
689,275,275
690,276,276
691,276,255
692,277,277
693,277,1302
694,278,278
695,278,1135
696,279,279
697,279,1069
698,280,280
699,280,54
700,280,799
701,280,1287
702,281,281
703,281,2288
704,282,282
705,283,283
706,283,1522
707,283,1319
708,283,189
709,284,284
710,284,959
711,284,1045
712,284,1631
713,284,1035
714,285,285
715,285,1342
716,286,286
717,286,8
718,286,104
719,286,778
720,287,287
721,288,288
722,288,1311
723,288,1305
724,288,1367
725,289,289
726,289,3814
727,289,181
728,290,290
729,290,295
730,290,1343
731,291,291
732,291,5149
733,292,292
734,292,1130
735,293,293
736,293,1223
737,293,992
738,293,235
739,294,294
740,294,1436
741,295,295
742,295,380
743,295,1391
744,295,290
745,295,348
746,296,296
747,296,1173
748,296,881
749,297,297
750,298,298
751,298,1434
752,298,1270
753,299,299
754,299,841
755,300,300
756,300,1540
757,301,301
758,301,744
759,301,902
760,301,1620
761,302,302
762,303,303
763,304,304
764,304,175
765,305,305
766,306,306
767,306,1385
768,306,74
769,306,552
770,307,307
771,308,308
772,309,309
773,310,310
774,311,311
775,311,1221
776,312,312
777,312,226
778,312,1354
779,312,273
780,313,313
781,313,954
782,314,314
783,314,69
784,315,315
785,315,209
786,315,1280
787,316,316
788,317,317
789,317,434
790,317,1368
791,317,204
792,318,318
793,318,410
794,319,319
795,319,382
796,319,401
797,320,320
798,320,168
799,321,321
800,321,130
801,321,227
802,322,322
803,322,384
804,323,323
805,323,224
806,324,324
807,324,1229
808,324,161
809,324,1306
810,324,1404
811,325,325
812,325,1637
813,325,259
814,326,326
815,326,1105
816,327,327
817,328,328
818,328,1480
819,328,1502
820,329,329
821,330,330
822,330,755
823,330,4199
824,331,331
825,331,1550
826,332,332
827,333,333
828,333,805
829,333,1498
830,334,334
831,334,1316
832,334,549
833,335,335
834,335,921
835,335,337
836,335,1562
837,335,1638
838,336,336
839,337,337
840,337,335
841,337,371
842,338,338
843,338,719
844,339,339
845,339,1325
846,340,340
847,340,854
848,340,45
849,340,1219
850,340,348
851,341,341
852,341,1186
853,341,613
854,342,342
855,342,2044
856,342,1448
857,342,836
858,343,343
859,344,344
860,345,345
861,345,524
862,345,1119
863,346,346
864,346,42
865,347,347
866,347,1185
867,348,348
868,348,1219
869,348,1343
870,348,340
871,348,295
872,349,349
873,350,350
874,351,351
875,351,266
876,352,352
877,353,353
878,353,1259
879,354,354
880,355,355
881,355,1559
882,356,356
883,357,357
884,358,358
885,358,1276
886,358,1289
887,359,359
888,359,104
889,359,1315
890,360,360
891,360,1672
892,361,361
893,361,375
894,362,362
895,363,363
896,363,1235
897,364,364
898,364,458
899,364,3967
900,365,365
901,365,902
902,365,1620
903,365,1603
904,366,366
905,366,344
906,367,367
907,367,717
908,368,368
909,369,369
910,370,370
911,371,371
912,371,337
913,372,372
914,372,1680
915,372,1689
916,372,1643
917,372,921
918,373,373
919,374,374
920,374,1532
921,374,375
922,374,453
923,374,403
924,375,375
925,375,361
926,375,374
927,375,480
928,376,376
929,376,1330
930,376,805
931,377,377
932,377,599
933,378,378
934,378,185
935,378,7025
936,379,379
937,379,189
938,380,380
939,380,295
940,381,381
941,381,982
942,381,1543
943,382,382
944,382,319
945,383,383
946,383,1368
947,383,1615
948,384,384
949,384,155
950,385,385
951,386,386
952,386,1226
953,386,3768
954,387,387
955,388,388
956,388,399
957,389,389
958,389,417
959,389,981
960,389,1219
961,389,854
962,390,390
963,390,1666
964,390,1603
965,391,391
966,392,392
967,392,1651
968,393,393
969,394,394
970,394,1048
971,395,395
972,395,1557
973,396,396
974,396,736
975,397,397
976,397,164
977,397,1321
978,397,49
979,398,398
980,399,399
981,399,388
982,400,400
983,400,828
984,400,1648
985,400,1536
986,401,401
987,401,1298
988,401,319
989,402,402
990,403,403
991,403,1594
992,403,374
993,404,404
994,404,1720
995,405,405
996,405,794
997,406,406
998,406,1530
999,406,456
1000,406,1599
1001,407,407
1002,408,408
1003,409,409
1004,409,1600
1005,409,5843
1006,410,410
1007,410,318
1008,411,411
1009,412,412
1010,413,413
1011,413,1580
1012,413,164
1013,413,667
1014,413,574
1015,414,414
1016,415,415
1017,415,1355
1018,416,416
1019,417,417
1020,417,1683
1021,417,389
1022,418,418
1023,418,1224
1024,418,148
1025,418,1281
1026,419,419
1027,420,420
1028,421,421
1029,421,1705
1030,421,751
1031,422,422
1032,423,423
1033,423,1378
1034,424,424
1035,425,425
1036,425,395
1037,426,426
1038,426,520
1039,427,427
1040,428,428
1041,429,429
1042,429,238
1043,430,430
1044,430,1482
1045,431,431
1046,431,932
1047,431,684
1048,431,433
1049,432,432
1050,432,1000
1051,432,553
1052,432,1349
1053,433,433
1054,433,736
1055,433,431
1056,434,434
1057,434,317
1058,434,882
1059,435,435
1060,435,1566
1061,436,436
1062,436,1181
1063,436,228
1064,437,437
1065,437,1564
1066,437,6903
1067,437,940
1068,438,438
1069,438,1442
1070,439,439
1071,439,2227
1072,439,7235
1073,440,440
1074,441,441
1075,442,442
1076,443,443
1077,443,1665
1078,444,444
1079,445,445
1080,445,1116
1081,445,219
1082,445,1365
1083,446,446
1084,446,1560
1085,446,6903
1086,446,1564
1087,447,447
1088,447,213
1089,447,1568
1090,448,448
1091,449,449
1092,450,450
1093,450,206
1094,451,451
1095,451,1584
1096,451,1734
1097,452,452
1098,453,453
1099,453,1638
1100,453,374
1101,453,1594
1102,454,454
1103,455,455
1104,456,456
1105,456,230
1106,456,1657
1107,456,406
1108,457,457
1109,458,458
1110,458,935
1111,458,364
1112,458,1689
1113,459,459
1114,459,972
1115,460,460
1116,461,461
1117,462,462
1118,463,463
1119,463,496
1120,464,464
1121,464,972
1122,464,1015
1123,464,1011
1124,464,1042
1125,465,465
1126,465,1632
1127,466,466
1128,466,1263
1129,466,125
1130,466,325
1131,467,467
1132,467,1500
1133,468,468
1134,469,469
1135,470,470
1136,470,1710
1137,471,471
1138,472,472
1139,472,1687
1140,473,473
1141,474,474
1142,474,1038
1143,475,475
1144,476,476
1145,477,477
1146,478,478
1147,479,479
1148,480,480
1149,480,1069
1150,480,375
1151,481,481
1152,482,482
1153,483,483
1154,484,484
1155,484,1072
1156,485,485
1157,485,1431
1158,486,486
1159,486,1623
1160,487,487
1161,488,488
1162,489,489
1163,489,1651
1164,490,490
1165,491,491
1166,492,492
1167,492,399
1168,492,1552
1169,493,493
1170,494,494
1171,495,495
1172,495,641
1173,496,496
1174,496,463
1175,497,497
1176,498,498
1177,499,499
1178,500,500
1179,500,939
1180,501,501
1181,501,4647
1182,502,502
1183,503,503
1184,504,504
1185,505,505
1186,505,800
1187,505,489
1188,506,506
1189,507,507
1190,507,1467
1191,508,508
1192,509,509
1193,510,510
1194,511,511
1195,512,512
1196,512,207
1197,512,267
1198,513,513
1199,513,1131
1200,513,6695
1201,514,514
1202,514,529
1203,514,88
1204,515,515
1205,516,516
1206,516,782
1207,516,129
1208,517,517
1209,517,600
1210,517,518
1211,517,514
1212,518,518
1213,518,1107
1214,518,578
1215,518,517
1216,519,519
1217,519,1760
1218,519,1748
1219,519,520
1220,519,531
1221,520,520
1222,520,543
1223,520,519
1224,521,521
1225,522,522
1226,523,523
1227,523,643
1228,523,577
1229,524,524
1230,524,345
1231,525,525
1232,525,593
1233,525,762
1234,526,526
1235,526,555
1236,527,527
1237,527,181
1238,527,222
1239,527,1318
1240,528,528
1241,528,1451
1242,528,597
1243,528,88
1244,529,529
1245,529,514
1246,530,530
1247,531,531
1248,531,547
1249,531,546
1250,531,519
1251,532,532
1252,532,561
1253,532,571
1254,533,533
1255,533,1582
1256,533,135
1257,534,534
1258,534,3722
1259,535,535
1260,535,713
1261,535,1306
1262,535,7099
1263,535,1448
1264,536,536
1265,536,562
1266,537,537
1267,538,538
1268,538,1100
1269,538,32
1270,539,539
1271,539,195
1272,540,540
1273,540,52
1274,540,742
1275,540,1425
1276,541,541
1277,541,877
1278,541,863
1279,541,780
1280,542,542
1281,543,543
1282,543,520
1283,543,1157
1284,544,544
1285,544,11
1286,544,546
1287,544,593
1288,544,1107
1289,545,545
1290,545,1289
1291,546,546
1292,546,681
1293,546,544
1294,546,531
1295,547,547
1296,547,28
1297,547,531
1298,547,674
1299,547,681
1300,548,548
1301,548,866
1302,548,911
1303,548,1370
1304,549,549
1305,549,832
1306,549,1316
1307,550,550
1308,551,551
1309,552,552
1310,552,306
1311,552,1184
1312,552,823
1313,552,1494
1314,553,553
1315,553,1394
1316,553,265
1317,554,554
1318,555,555
1319,555,526
1320,556,556
1321,556,1440
1322,556,1425
1323,556,704
1324,557,557
1325,557,685
1326,557,704
1327,558,558
1328,559,559
1329,559,716
1330,560,560
1331,560,730
1332,561,561
1333,561,614
1334,561,532
1335,561,766
1336,562,562
1337,562,581
1338,562,536
1339,563,563
1340,563,32
1341,563,659
1342,563,203
1343,564,564
1344,565,565
1345,566,566
1346,566,224
1347,566,735
1348,566,12
1349,567,567
1350,568,568
1351,569,569
1352,570,570
1353,571,571
1354,571,532
1355,571,608
1356,572,572
1357,572,1462
1358,573,573
1359,573,829
1360,573,232
1361,573,1122
1362,573,1348
1363,574,574
1364,574,667
1365,574,164
1366,575,575
1367,575,1110
1368,576,576
1369,577,577
1370,577,523
1371,577,580
1372,578,578
1373,578,820
1374,578,1107
1375,578,518
1376,579,579
1377,580,580
1378,580,1246
1379,580,6834
1380,580,657
1381,581,581
1382,581,653
1383,581,562
1384,582,582
1385,582,678
1386,582,137
1387,583,583
1388,583,78
1389,584,584
1390,584,682
1391,584,21
1392,585,585
1393,585,1238
1394,586,586
1395,587,587
1396,587,1449
1397,587,838
1398,588,588
1399,588,596
1400,588,536
1401,589,589
1402,589,594
1403,589,687
1404,590,590
1405,590,1700
1406,591,591
1407,592,592
1408,593,593
1409,593,525
1410,593,544
1411,594,594
1412,594,784
1413,594,589
1414,595,595
1415,595,1371
1416,595,829
1417,595,1296
1418,596,596
1419,597,597
1420,597,700
1421,597,528
1422,598,598
1423,599,599
1424,599,758
1425,599,818
1426,600,600
1427,600,517
1428,600,23
1429,601,601
1430,601,1235
1431,601,618
1432,601,118
1433,601,117
1434,602,602
1435,603,603
1436,603,21
1437,603,6517
1438,604,604
1439,604,637
1440,605,605
1441,606,606
1442,606,1265
1443,607,607
1444,608,608
1445,608,255
1446,608,1144
1447,608,571
1448,609,609
1449,609,72
1450,609,94
1451,610,610
1452,611,611
1453,612,612
1454,612,6419
1455,613,613
1456,613,93
1457,613,1290
1458,614,614
1459,614,146
1460,614,561
1461,615,615
1462,615,859
1463,615,1167
1464,616,616
1465,616,1289
1466,617,617
1467,617,803
1468,618,618
1469,618,1032
1470,618,601
1471,618,1507
1472,618,118
1473,619,619
1474,619,2325
1475,620,620
1476,621,621
1477,621,1214
1478,622,622
1479,622,1581
1480,622,1285
1481,622,1369
1482,622,1323
1483,623,623
1484,624,624
1485,624,748
1486,624,162
1487,625,625
1488,625,584
1489,625,160
1490,626,626
1491,626,660
1492,627,627
1493,628,628
1494,628,649
1495,629,629
1496,630,630
1497,631,631
1498,631,669
1499,631,632
1500,631,708
1501,632,632
1502,632,1187
1503,632,631
1504,632,1126
1505,633,633
1506,633,659
1507,634,634
1508,634,910
1509,634,1420
1510,635,635
1511,635,25
1512,635,1175
1513,636,636
1514,636,1333
1515,637,637
1516,637,604
1517,637,1295
1518,638,638
1519,639,639
1520,640,640
1521,641,641
1522,641,495
1523,641,787
1524,641,6154
1525,641,842
1526,642,642
1527,643,643
1528,643,523
1529,644,644
1530,644,1405
1531,644,733
1532,645,645
1533,646,646
1534,646,687
1535,647,647
1536,648,648
1537,648,55
1538,648,1196
1539,649,649
1540,649,628
1541,650,650
1542,651,651
1543,652,652
1544,653,653
1545,653,581
1546,653,706
1547,653,1287
1548,654,654
1549,654,760
1550,654,855
1551,655,655
1552,655,705
1553,656,656
1554,656,1356
1555,657,657
1556,657,580
1557,658,658
1558,658,711
1559,659,659
1560,659,563
1561,659,633
1562,660,660
1563,660,626
1564,661,661
1565,661,770
1566,661,1127
1567,661,705
1568,662,662
1569,663,663
1570,664,664
1571,665,665
1572,665,735
1573,665,6161
1574,666,666
1575,666,1582
1576,666,774
1577,667,667
1578,667,574
1579,667,731
1580,668,668
1581,668,708
1582,668,1126
1583,668,669
1584,668,135
1585,669,669
1586,669,631
1587,669,668
1588,670,670
1589,670,790
1590,671,671
1591,671,888
1592,671,521
1593,672,672
1594,672,1138
1595,672,1300
1596,673,673
1597,673,1278
1598,674,674
1599,674,681
1600,674,547
1601,675,675
1602,675,30
1603,676,676
1604,676,749
1605,676,147
1606,677,677
1607,678,678
1608,678,582
1609,678,818
1610,679,679
1611,679,1534
1612,679,111
1613,680,680
1614,680,1472
1615,681,681
1616,681,674
1617,681,547
1618,681,546
1619,682,682
1620,682,584
1621,682,1273
1622,683,683
1623,683,767
1624,683,1273
1625,683,1397
1626,684,684
1627,684,431
1628,684,932
1629,685,685
1630,685,557
1631,686,686
1632,686,1416
1633,686,760
1634,687,687
1635,687,646
1636,687,653
1637,687,1312
1638,687,589
1639,688,688
1640,688,715
1641,688,1220
1642,689,689
1643,689,1503
1644,690,690
1645,690,14
1646,690,1243
1647,690,1156
1648,690,1153
1649,691,691
1650,692,692
1651,693,693
1652,693,255
1653,694,694
1654,694,1135
1655,694,639
1656,694,616
1657,695,695
1658,695,202
1659,696,696
1660,697,697
1661,697,1259
1662,697,1220
1663,698,698
1664,698,67
1665,698,1420
1666,699,699
1667,700,700
1668,700,597
1669,701,701
1670,701,659
1671,702,702
1672,703,703
1673,703,1591
1674,704,704
1675,704,557
1676,705,705
1677,705,655
1678,705,1146
1679,705,661
1680,705,770
1681,706,706
1682,706,653
1683,707,707
1684,708,708
1685,708,668
1686,708,1126
1687,708,631
1688,709,709
1689,709,241
1690,710,710
1691,711,711
1692,712,712
1693,712,149
1694,713,713
1695,713,535
1696,714,714
1697,714,747
1698,714,1440
1699,714,860
1700,714,1151
1701,715,715
1702,715,144
1703,716,716
1704,716,559
1705,716,571
1706,716,532
1707,717,717
1708,717,560
1709,718,718
1710,718,722
1711,718,127
1712,718,752
1713,718,780
1714,719,719
1715,719,4938
1716,719,338
1717,720,720
1718,721,721
1719,722,722
1720,723,723
1721,724,724
1722,724,859
1723,724,838
1724,725,725
1725,726,726
1726,726,750
1727,726,1555
1728,726,627
1729,727,727
1730,727,774
1731,727,803
1732,728,728
1733,729,729
1734,729,1299
1735,730,730
1736,730,1451
1737,730,560
1738,731,731
1739,731,27
1740,731,667
1741,732,732
1742,732,863
1743,733,733
1744,733,644
1745,733,1420
1746,734,734
1747,734,752
1748,734,172
1749,735,735
1750,735,665
1751,735,1190
1752,735,566
1753,735,12
1754,736,736
1755,736,396
1756,736,433
1757,737,737
1758,737,848
1759,737,1506
1760,738,738
1761,738,802
1762,738,1268
1763,738,812
1764,738,1179
1765,739,739
1766,739,662
1767,739,113
1768,740,740
1769,741,741
1770,741,897
1771,741,921
1772,741,942
1773,741,953
1774,742,742
1775,742,540
1776,742,52
1777,743,743
1778,744,744
1779,744,301
1780,744,902
1781,745,745
1782,746,746
1783,746,4964
1784,746,2707
1785,746,915
1786,746,1583
1787,747,747
1788,747,860
1789,747,1234
1790,747,714
1791,748,748
1792,748,624
1793,748,129
1794,749,749
1795,749,676
1796,750,750
1797,750,726
1798,750,600
1799,750,207
1800,750,267
1801,751,751
1802,751,1448
1803,752,752
1804,753,753
1805,754,754
1806,754,992
1807,755,755
1808,755,330
1809,756,756
1810,756,589
1811,757,757
1812,757,273
1813,758,758
1814,758,599
1815,759,759
1816,759,223
1817,759,71
1818,760,760
1819,760,654
1820,760,7039
1821,760,686
1822,761,761
1823,761,6286
1824,762,762
1825,762,525
1826,763,763
1827,763,1425
1828,764,764
1829,764,1181
1830,764,24
1831,765,765
1832,765,229
1833,766,766
1834,766,865
1835,766,561
1836,767,767
1837,767,683
1838,767,136
1839,767,806
1840,768,768
1841,769,769
1842,770,770
1843,770,661
1844,770,168
1845,770,705
1846,771,771
1847,772,772
1848,772,3090
1849,772,6239
1850,772,249
1851,773,773
1852,773,6485
1853,773,925
1854,773,927
1855,774,774
1856,774,727
1857,774,666
1858,775,775
1859,776,776
1860,777,777
1861,778,778
1862,778,1342
1863,778,286
1864,779,779
1865,779,1470
1866,779,1266
1867,780,780
1868,780,926
1869,780,541
1870,780,718
1871,781,781
1872,781,992
1873,781,947
1874,781,903
1875,782,782
1876,782,516
1877,782,948
1878,783,783
1879,784,784
1880,784,594
1881,785,785
1882,785,1506
1883,786,786
1884,786,1499
1885,787,787
1886,787,6570
1887,787,641
1888,788,788
1889,789,789
1890,789,849
1891,789,871
1892,790,790
1893,791,791
1894,792,792
1895,793,793
1896,793,1101
1897,794,794
1898,794,6224
1899,794,405
1900,795,795
1901,796,796
1902,797,797
1903,798,798
1904,799,799
1905,799,1191
1906,799,280
1907,800,800
1908,800,862
1909,800,1364
1910,801,801
1911,801,253
1912,801,849
1913,802,802
1914,802,738
1915,802,812
1916,802,1285
1917,802,1268
1918,803,803
1919,803,1509
1920,803,617
1921,803,727
1922,804,804
1923,804,1369
1924,804,2039
1925,804,1581
1926,805,805
1927,805,333
1928,805,1498
1929,806,806
1930,806,1104
1931,806,767
1932,807,807
1933,808,808
1934,808,1268
1935,808,1248
1936,809,809
1937,809,1137
1938,810,810
1939,810,530
1940,811,811
1941,811,539
1942,812,812
1943,812,802
1944,812,738
1945,813,813
1946,813,169
1947,814,814
1948,815,815
1949,816,816
1950,816,857
1951,816,900
1952,817,817
1953,817,173
1954,817,998
1955,818,818
1956,818,599
1957,818,678
1958,819,819
1959,819,978
1960,820,820
1961,820,6101
1962,820,578
1963,820,6039
1964,820,6198
1965,821,821
1966,821,2951
1967,822,822
1968,823,823
1969,823,754
1970,823,958
1971,823,552
1972,824,824
1973,825,825
1974,825,249
1975,826,826
1976,827,827
1977,828,828
1978,828,1648
1979,828,400
1980,828,1574
1981,828,1517
1982,829,829
1983,829,573
1984,829,595
1985,829,232
1986,829,25
1987,830,830
1988,830,865
1989,831,831
1990,832,832
1991,832,1540
1992,832,549
1993,833,833
1994,833,102
1995,834,834
1996,835,835
1997,835,647
1998,836,836
1999,836,238
2000,836,342
2001,836,1459
2002,837,837
2003,837,1280
2004,837,1504
2005,838,838
2006,838,724
2007,838,587
2008,839,839
2009,840,840
2010,841,841
2011,842,842
2012,842,6154
2013,842,641
2014,843,843
2015,844,844
2016,844,568
2017,845,845
2018,846,846
2019,846,4443
2020,846,238
2021,846,1242
2022,847,847
2023,847,184
2024,847,242
2025,848,848
2026,848,737
2027,849,849
2028,849,789
2029,849,801
2030,850,850
2031,851,851
2032,852,852
2033,853,853
2034,853,1469
2035,854,854
2036,854,340
2037,854,988
2038,854,389
2039,855,855
2040,855,571
2041,855,654
2042,855,4
2043,856,856
2044,856,722
2045,857,857
2046,857,816
2047,857,900
2048,858,858
2049,859,859
2050,859,724
2051,859,615
2052,860,860
2053,860,747
2054,860,714
2055,861,861
2056,862,862
2057,862,108
2058,862,800
2059,863,863
2060,863,541
2061,864,864
2062,865,865
2063,865,766
2064,865,830
2065,866,866
2066,866,2017
2067,866,911
2068,866,548
2069,866,1450
